description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Pollo Entero con Menudencia x kg,S/ 9.50 x kg,wong,MENUDENCIA DE POLLO,2024-12-04 18:45:08.850789,1.0,kg,9.5
Pollo Entero sin Menudencia x kg,S/ 11.70 x kg,wong,MENUDENCIA DE POLLO,2024-12-04 18:45:08.850789,1.0,kg,11.7
Pollo Fresco Sin Menudencia Artisan Libre de Antibióticos x kg,S/ 16.50 x kg,wong,MENUDENCIA DE POLLO,2024-12-04 18:45:08.850789,1.0,kg,16.5
Pollo Fresco con Menudencia San Fernando x Kg,S/ 10.45 x kg,wong,MENUDENCIA DE POLLO,2024-12-04 18:45:08.850789,1.0,kg,10.45
Pollo con Menudencia Redondos x kg,S/ 10.25 x kg,wong,MENUDENCIA DE POLLO,2024-12-04 18:45:08.850789,1.0,kg,10.25
Pollo Entero Sin Menudencia Redondos x kg,S/ 11.90 x kg,wong,MENUDENCIA DE POLLO,2024-12-04 18:45:08.850789,1.0,kg,11.9
Pollo Entero con Menudencia Avinka x kg,S/ 10.65 x kg,wong,MENUDENCIA DE POLLO,2024-12-04 18:45:08.850789,1.0,kg,10.65
Pollo Entero Light Sin Menudencia Artisan x kg,S/ 30.90 x kg,wong,MENUDENCIA DE POLLO,2024-12-04 18:45:08.850789,1.0,kg,30.9
Hígado de Pollo x kg,S/ 8.90 x kg,wong,MENUDENCIA DE POLLO,2024-12-04 18:45:08.850789,1.0,kg,8.9
Molleja de Pollo x kg,S/ 13.90 x kg,wong,MENUDENCIA DE POLLO,2024-12-04 18:45:08.850789,1.0,kg,13.9
Corazón de Pollo x kg,S/ 12.90 x kg,wong,MENUDENCIA DE POLLO,2024-12-04 18:45:08.850789,1.0,kg,12.9
