description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Pan de Molde Blanco Bimbo Bolsa 750 g,S/ 13.50,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,750.0,g,13.5
Pan de Molde de Semillas Bimbo Vital Bolsa 600 g,S/ 12.90,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,600.0,g,12.9
Pan de Molde Multicereal Bimbo Vital Bolsa 600 g,S/ 12.90,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,600.0,g,12.9
Pan de Molde Tipo Artesanal Bimbo Artesano Original 560g,S/ 11.90,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,560.0,g,11.9
Pan de Molde Blanco Sin Corteza Bimbo 650g,S/ 16.90,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,650.0,g,16.9
Pan de Molde Tipo Artesanal Bimbo Artesano Integral 560g,S/ 11.90,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,560.0,g,11.9
Pan de Molde Integral Bimbo Bolsa 750 g,S/ 13.50,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,750.0,g,13.5
Pan de Molde Integral Sin Bordes Bimbo Bolsa 650 g,S/ 16.90,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,650.0,g,16.9
Pan de Molde de Semillas Bimbo Vital Bolsa 360 g,S/ 9.50,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,360.0,g,9.5
Pan de Molde Bimbo Vital Mix de Quinuas 600g,S/ 12.90,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,600.0,g,12.9
Pack x2 Pan de Molde de Semillas Bimbo Vital Bolsa 600 g,S/ 29.60,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,600.0,g,29.6
Pan de Molde Blanco Bimbo 480g,S/ 11.90,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,480.0,g,11.9
Pan de Molde Multicereal Vital Bimbo Bolsa 360 g,S/ 9.50,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,360.0,g,9.5
Pan de Molde Bimbo Doble Fibra 510g,S/ 11.90,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,510.0,g,11.9
Pan de Molde Blanco Bimbo Cero Cero 530g,S/ 12.50,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,530.0,g,12.5
Pan de Molde Integral Bimbo 480g,S/ 11.90,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,480.0,g,11.9
Pan de Molde Bimbo Multigrano Linaza 510g,S/ 11.90,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,510.0,g,11.9
Pack x2 Pan de Molde de Semillas Bimbo Vital Bolsa 360 g,S/ 22.00,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,360.0,g,22.0
Pan de Molde Bimbo Súper Sandwich 800g,S/ 15.50,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,800.0,g,15.5
Twopack Pan de Molde Bimbo Artesano Integral 560g,S/ 28.40,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,560.0,g,28.4
Pack Pan de Molde Bimbo Artesano: Original 560g + Integral 560g,S/ 27.80,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,560.0,g,27.8
Pack x2 Pan de Molde Blanco Bimbo Bolsa 480g,S/ 23.00,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,480.0,g,23.0
Twopack Pan de Molde Bimbo Vital Mix de Quinuas 600g,S/ 29.60,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,600.0,g,29.6
Twopack Pan de Molde Bimbo Artesano Original 560g,S/ 27.20,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,560.0,g,27.2
Pack Pan de Molde Vital: Avena Girasol 600g + Linaza Chía 600g,S/ 29.60,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,600.0,g,29.6
Pack x2 Pan de Molde Integral Bimbo Bolsa 480g,S/ 23.20,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,480.0,g,23.2
Pan de Molde Don Mamino Blanco Sin Corteza Bolsa 560 g,S/ 13.50,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,560.0,g,13.5
Pan de Molde Integral Don Mamino Bolsa 560 g,S/ 13.50,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,560.0,g,13.5
Pan de Molde Don Mamino Marmoleado Bolsa 560 g,S/ 13.50,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,560.0,g,13.5
Pan de Molde Don Mamino Pullman Corte Horizontal Bolsa 560 g,S/ 13.50,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,560.0,g,13.5
Pan De Molde Blanco Don Mamino 250 g,S/ 9.90,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,250.0,g,9.9
Pan de Molde Unión Multisemillas con Avena 540g,S/ 13.60,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,540.0,g,13.6
Pan de Molde Integral Unión Mediano Bolsa 360 g,S/ 9.70,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,360.0,g,9.7
Pan de Molde Unión Granos Integrales Bolsa 540 g,S/ 13.60,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,540.0,g,13.6
Pan de Molde Unión Multisemilla & Chips Miel bolsa 540 g,S/ 13.60,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,540.0,g,13.6
Pan de Molde Integral Clásico Unión Grande Bolsa 495 g,S/ 14.60,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,495.0,g,14.6
Pan de Molde Wong Finas Hierbas 390g,S/ 11.90,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,390.0,g,11.9
Pan de Molde Integral 390g,S/ 11.90,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,390.0,g,11.9
Pan de Molde Wong Campesino 390g,S/ 11.90,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,390.0,g,11.9
Pan de Molde Yema 390g,S/ 11.90,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,390.0,g,11.9
Pan de Molde Wong Multigranos 390g,S/ 11.90,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,390.0,g,11.9
Pan de Molde Blanco Cuisine & Co 800g,S/ 11.90,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,800.0,g,11.9
Pan de Molde Integral Cuisine & Co Bolsa 500 gr,S/ 7.90,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,500.0,g,7.9
Pan de Molde Blanco Cuisine & Co 600g,S/ 8.90,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,600.0,g,8.9
Pan de Molde Blanco Sin Gluten Molinos del Mundo Bolsa 480 g,S/ 19.40,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,480.0,g,19.4
Pan de Molde Integral Sin Gluten Molinos del Mundo Bolsa 480 g,S/ 21.90,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,480.0,g,21.9
Pan de Molde Integral Cuisine & Co 800g,S/ 11.90,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,800.0,g,11.9
Pan de Molde Blanco Cuisine & Co Bolsa 500 gr,S/ 7.90,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,500.0,g,7.9
Pan de Molde Integral Cuisine & Co 600g,S/ 8.90,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,600.0,g,8.9
Pan de Molde Brioche Wong 300g,S/ 9.50,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,300.0,g,9.5
Pan de Molde Integral Bauducco 390g,S/ 9.90,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,390.0,g,9.9
Pan de Molde Blanco Bauducco 390g,S/ 9.90,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,390.0,g,9.9
Pan de Molde de Camote Yoy Sin Azúcar 400g,S/ 16.90,wong,PAN DE MOLDE,2024-12-04 18:14:30.691651,400.0,g,16.9
