description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Papas Fritas Lay's Clásicas 150g + Piqueo Snax Original 200g,S/ 13.50,wong,PAPA FRITA (BOCADITOS),2024-12-04 20:44:40.572532,150.0,g,13.5
Papas Fritas Lay's Clásicas 210g,S/ 9.00,wong,PAPA FRITA (BOCADITOS),2024-12-04 20:44:40.572532,210.0,g,9.0
Papas Fritas Lay's Ondas Clásicas 140g,S/ 6.99,wong,PAPA FRITA (BOCADITOS),2024-12-04 20:44:40.572532,140.0,g,6.99
Papas Fritas Lay's Naturales 36g,S/ 2.70,wong,PAPA FRITA (BOCADITOS),2024-12-04 20:44:40.572532,36.0,g,2.7
Papas Fritas Lays Artesanas Sal Marina 34g,S/ 2.90,wong,PAPA FRITA (BOCADITOS),2024-12-04 20:44:40.572532,34.0,g,2.9
Papas Fritas Lay's Clásicas 150g + Doritos Queso Atrevido 190g,S/ 13.50,wong,PAPA FRITA (BOCADITOS),2024-12-04 20:44:40.572532,150.0,g,13.5
Papas Fritas Lays Artesanas Alitas BBQ 34g,S/ 2.90,wong,PAPA FRITA (BOCADITOS),2024-12-04 20:44:40.572532,34.0,g,2.9
Papas Fritas Lay's Naturales 34g,S/ 2.70,wong,PAPA FRITA (BOCADITOS),2024-12-04 20:44:40.572532,34.0,g,2.7
Papas Fritas Lay's Ondas Sabor a Mayonesa 140g,S/ 5.50,wong,PAPA FRITA (BOCADITOS),2024-12-04 20:44:40.572532,140.0,g,5.5
Papas al Hilo Lay's 155g,S/ 5.50,wong,PAPA FRITA (BOCADITOS),2024-12-04 20:44:40.572532,155.0,g,5.5
Papas Lays Clásicas 150g,S/ 5.50,wong,PAPA FRITA (BOCADITOS),2024-12-04 20:44:40.572532,150.0,g,5.5
Papas Artesanas Lay's Sal Marina 135g,S/ 6.50,wong,PAPA FRITA (BOCADITOS),2024-12-04 20:44:40.572532,135.0,g,6.5
Papas en Hojuelas Lay's Ondas Picante 140g,S/ 5.50,wong,PAPA FRITA (BOCADITOS),2024-12-04 20:44:40.572532,140.0,g,5.5
Papas Artesanas Lay's Alita BBQ 130g,S/ 6.50,wong,PAPA FRITA (BOCADITOS),2024-12-04 20:44:40.572532,130.0,g,6.5
Papas Lays Ondas Picante 105g,S/ 7.20,wong,PAPA FRITA (BOCADITOS),2024-12-04 20:44:40.572532,105.0,g,7.2
Papas Lay's Ondas Clásicas 140g + Papas Lay's Ondas Picante 140g,S/ 10.35,wong,PAPA FRITA (BOCADITOS),2024-12-04 20:44:40.572532,140.0,g,10.35
Papas Lays Clásicas 150g + De Todito Mix 165g,S/ 13.90,wong,PAPA FRITA (BOCADITOS),2024-12-04 20:44:40.572532,150.0,g,13.9
Papas Fritas Nativas Tiyapuy 142g,S/ 7.60,wong,PAPA FRITA (BOCADITOS),2024-12-04 20:44:40.572532,142.0,g,7.6
Papas Fritas Amarillas Tiyapuy Bolsa 160 g,S/ 7.60,wong,PAPA FRITA (BOCADITOS),2024-12-04 20:44:40.572532,160.0,g,7.6
Papas Fritas 400g aprox,S/ 11.99,wong,PAPA FRITA (BOCADITOS),2024-12-04 20:44:40.572532,400.0,g,11.99
Papa Tumbay en Gajos Pre Frita Congelada Cali Frut 1kg,S/ 22.00,wong,PAPA FRITA (BOCADITOS),2024-12-04 20:44:40.572532,1.0,kg,22.0
Papas Fritas Onduladas Saladas Cuisine & Co Bolsa 150 gr,S/ 6.50,wong,PAPA FRITA (BOCADITOS),2024-12-04 20:44:40.572532,150.0,g,6.5
Papas Fritas Tradicionales Cuisine & Co Bolsa 180 gr,S/ 7.90,wong,PAPA FRITA (BOCADITOS),2024-12-04 20:44:40.572532,180.0,g,7.9
Papas Fritas The Fresh Market Sal y Vinagre 255g,S/ 14.90,wong,PAPA FRITA (BOCADITOS),2024-12-04 20:44:40.572532,255.0,g,14.9
Papas Fritas Pringles Sabor Churrasco 109g,S/ 8.90,wong,PAPA FRITA (BOCADITOS),2024-12-04 20:44:40.572532,109.0,g,8.9
Papas Fritas The Fresh Market Sour Cream y Cebolla 255g,S/ 14.90,wong,PAPA FRITA (BOCADITOS),2024-12-04 20:44:40.572532,255.0,g,14.9
Papas Nativas Fritas Tiyapuy Sabor Limón y Pimienta 142g,S/ 8.50,wong,PAPA FRITA (BOCADITOS),2024-12-04 20:44:40.572532,142.0,g,8.5
Papas Nativas Fritas Tiyapuy Sabor Jalapeño 142g,S/ 8.50,wong,PAPA FRITA (BOCADITOS),2024-12-04 20:44:40.572532,142.0,g,8.5
