description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Filete de Pechuga de Pollo x kg,S/ 24.00 x kg,wong,PECHUGA DE POLLO,2024-12-04 18:42:41.155066,1.0,kg,24.0
Pechuga Especial de Pollo x kg,S/ 17.50 x kg,wong,PECHUGA DE POLLO,2024-12-04 18:42:41.155066,1.0,kg,17.5
Filete de Pechuga Artisan x Kg. Libre de Antibióticos,S/ 46.60 x kg,wong,PECHUGA DE POLLO,2024-12-04 18:42:41.155066,1.0,kg,46.6
Pechuga con Ala de Pollo x kg,S/ 14.50 x kg,wong,PECHUGA DE POLLO,2024-12-04 18:42:41.155066,1.0,kg,14.5
Filete de Pechuga de Pollo Congelada San Fernando x kg,S/ 26.70 x kg,wong,PECHUGA DE POLLO,2024-12-04 18:42:41.155066,1.0,kg,26.7
Filete de Pechuga Importado x kg,S/ 16.50 x kg,wong,PECHUGA DE POLLO,2024-12-04 18:42:41.155066,1.0,kg,16.5
Pechuga de Pollo Light x kg,S/ 19.50 x kg,wong,PECHUGA DE POLLO,2024-12-04 18:42:41.155066,1.0,kg,19.5
Pechuga Especial Importada x kg,S/ 14.50 x kg,wong,PECHUGA DE POLLO,2024-12-04 18:42:41.155066,1.0,kg,14.5
Pechuga de Pollo con Alas Congelada San Fernando x kg,S/ 18.30 x kg,wong,PECHUGA DE POLLO,2024-12-04 18:42:41.155066,1.0,kg,18.3
Filete de Pechuga de Pollo Criollo Redondos Bolsa 4 Unid,S/ 20.40,wong,PECHUGA DE POLLO,2024-12-04 18:42:41.155066,4.0,un,20.4
Filete de Pechuga de Pollo Oriental Redondos Bolsa 4 Unid,S/ 20.40,wong,PECHUGA DE POLLO,2024-12-04 18:42:41.155066,4.0,un,20.4
Pollada Criolla Redondos 1/2 Pechuga y Pierna con Encuentro 800g,S/ 17.90,wong,PECHUGA DE POLLO,2024-12-04 18:42:41.155066,800.0,g,17.9
Pechuga de Pollo Rellena de Jamón y Queso Bandeja 250 g,S/ 12.89,wong,PECHUGA DE POLLO,2024-12-04 18:42:41.155066,250.0,g,12.89
Pechuga de Pollo Rellena de Tocino Bandeja 250 g,S/ 13.70,wong,PECHUGA DE POLLO,2024-12-04 18:42:41.155066,250.0,g,13.7
Pechuga de Pollo Rellena de Verduras Bandeja 250 g,S/ 11.99,wong,PECHUGA DE POLLO,2024-12-04 18:42:41.155066,250.0,g,11.99
Nuggets de Pechuga de Pollo San Fernando 24un,S/ 15.80,wong,PECHUGA DE POLLO,2024-12-04 18:42:41.155066,24.0,un,15.8
Tiras de Pechuga de Pollo Redondos 8un,S/ 13.70,wong,PECHUGA DE POLLO,2024-12-04 18:42:41.155066,8.0,un,13.7
Nuggets de Pechuga de Pollo Redondos 36un,S/ 16.60,wong,PECHUGA DE POLLO,2024-12-04 18:42:41.155066,36.0,un,16.6
Nuggets de Pechuga Pollo Oregon Foods 330g,S/ 16.00,wong,PECHUGA DE POLLO,2024-12-04 18:42:41.155066,330.0,g,16.0
Nuggets de Pechuga de Pollo Cuisine & Co 480g,S/ 17.20,wong,PECHUGA DE POLLO,2024-12-04 18:42:41.155066,480.0,g,17.2
Tiras de Pechuga de Pollo Bolsa 300 g,S/ 14.90,wong,PECHUGA DE POLLO,2024-12-04 18:42:41.155066,300.0,g,14.9
Deditos de Pechuga de Pollo Redondos 15un,S/ 13.00,wong,PECHUGA DE POLLO,2024-12-04 18:42:41.155066,15.0,un,13.0
Nuggets de Pechuga de Pollo Redondos 23un 350g,S/ 11.60,wong,PECHUGA DE POLLO,2024-12-04 18:42:41.155066,23.0,un,11.6
Nuggets de Pechuga de Pollo con Chía Vive Bien Caja 550 g,S/ 20.45,wong,PECHUGA DE POLLO,2024-12-04 18:42:41.155066,550.0,g,20.45
Nuggets de Pechuga de Pollo Redondos 12un,S/ 6.50,wong,PECHUGA DE POLLO,2024-12-04 18:42:41.155066,12.0,un,6.5
Jamón de Pechuga de Pollo Braedt Balance Paquete 200 g,S/ 8.30,wong,PECHUGA DE POLLO,2024-12-04 18:42:41.155066,200.0,g,8.3
