description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Tomate Italiano x kg,S/ 5.19 x kg,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,1.0,kg,5.19
Tomate Cherry Baby Hidropónico de Invernadero Ecologic Bandeja 300g,S/ 6.30,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,300.0,g,6.3
Tomate Cherry La Huerta 300g,S/ 12.00,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,300.0,g,12.0
Tomate Cherry Cuisine & Co 200g,S/ 5.00,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,200.0,g,5.0
Tomate Cherry Cuisine & Co 600g,S/ 11.50,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,600.0,g,11.5
Tomate Cherry Hidropónico de Invernadero Don Miguel Bandeja 300 g,S/ 7.50,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,300.0,g,7.5
Tomate Picado La Molisana 400g,S/ 6.90,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,400.0,g,6.9
Tomate en Cuadros The Fresh Market 794g,S/ 10.90,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,794.0,g,10.9
Tomate Pelado La Molisana 400g,S/ 6.90,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,400.0,g,6.9
Tomate en Cuadros The Fresh Market 411g,S/ 6.90,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,411.0,g,6.9
Tomates Enteros The Fresh Market 794g,S/ 10.90,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,794.0,g,10.9
Tomates Cortados The Fresh Market Bajo en Sodio 411g,S/ 6.90,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,411.0,g,6.9
Tomates en Cubos Del Monte Lata 411 g,S/ 12.10,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,411.0,g,12.1
Tomates Cortados The Fresh Market 411g,S/ 6.90,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,411.0,g,6.9
Tomate Triturado Colavita 400g,S/ 10.90,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,400.0,g,10.9
Pimiento x kg,S/ 8.99 x kg,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,1.0,kg,8.99
Zapallito Italiano x un,S/ 2.79,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,1.0,un,2.79
Salsa de Tomate Pomarola 145g,S/ 1.90,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,145.0,g,1.9
Pasta de Tomate Cuisine & Co Doypack 100 g,S/ 1.70,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,100.0,g,1.7
Concentrado de Tomate Molitalia 110g,S/ 1.80,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,110.0,g,1.8
Salsa de Tomate Cuisine & Co Doypack 380 g,S/ 4.90,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,380.0,g,4.9
Salsa de Tomate Don Italo 250g,S/ 10.99,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,250.0,g,10.99
Salame Italiano Loncheado Zimmermann Paquete 100 g,S/ 13.52,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,100.0,g,13.52
Puré de Tomate Gourmet117 680g,S/ 18.90,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,680.0,g,18.9
Salsa de Tomate y Albahaca Orgánica The Fresh Market 709g,S/ 23.90,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,709.0,g,23.9
Aderezo de Tomate Harmless Ketchup 352g,S/ 29.80,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,352.0,g,29.8
Passata de Tomate Clásico La Molisana 690g,S/ 11.90,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,690.0,g,11.9
Salsa de Tomate Estilo Casero Sin Gluten Helios Frasco 300 g,S/ 15.90,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,300.0,g,15.9
Britvic Jugo de Tomate Vidrio 200ml,S/ 6.90,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,200.0,ml,6.9
Salsa para Pastas Filippo Berio Tomate Pesto Frasco 190 g,S/ 13.90,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,190.0,g,13.9
Nachos Horneados Sanissimo Sabor Tomate y Albahaca 160g,S/ 9.90,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,160.0,g,9.9
Salsa de Tomate The Fresh Market 794g,S/ 9.90,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,794.0,g,9.9
Antipasto Italiano La Genovesa 200g,S/ 39.50,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,200.0,g,39.5
Chorizo Italiano Paquete 220 g,S/ 12.90,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,220.0,g,12.9
Mini Tostada Il Pastificio Tomate y Orégano 100g,S/ 9.90,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,100.0,g,9.9
"Papa en Hojuelas Inka Chips Tomate, Albahaca y Oliva 115g",S/ 8.20,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,115.0,g,8.2
Salsa de Tomate Colavita 680g,S/ 14.90,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,680.0,g,14.9
Chorizo Artesanal OSSO Italiano Caja 4 unid (560 g),S/ 32.22,wong,TOMATE ITALIANO O MARSANO,2024-12-04 19:49:26.002869,4.0,un,32.22
