description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Yogurt Griego Vakimu Original 1 Kg,S/ 13.44,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,1.0,kg,13.44
Yogurt Natural SKYR Plusa 500g,S/ 14.90,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,500.0,g,14.9
Yogurt Griego Descremado Danlac Sabor Natural Frasco 900g,S/ 19.40,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,900.0,g,19.4
Yogurt Griego Vakimu Frutos del Bosque 1 Kg,S/ 13.44,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,1.0,kg,13.44
Yogurt Gloria Battimix Vainilla 146g,S/ 2.99,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,146.0,g,2.99
Yogurt Gloria Griego Sabor Frutos Rojos 120g,S/ 2.20,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,120.0,g,2.2
Yogurt Vakimu +Pro Fresa 160g,S/ 4.79,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,160.0,g,4.79
Yogurt Descremado Vakimu Quark 500g,S/ 11.76,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,500.0,g,11.76
Yogurt Bebible Gloria Fresa Galonera 1.7kg,S/ 9.20,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,1.7,kg,9.2
Yogurt Bebible Laive Sbelt Sabor Vainilla Francesa 1.7kg,S/ 11.90,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,1.7,kg,11.9
Yogurt Bebible Yo Most Fresa Pack 6 Unid x 180 ml,S/ 13.10,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,6.0,un,13.1
Yogurt Vakimu +Pro Arándano 500g,S/ 11.92,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,500.0,g,11.92
Yogurt Bebible Gloria Vainilla Galonera 1.7kg,S/ 9.20,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,1.7,kg,9.2
Yogurt Vakimu +Pro Arándano 160g,S/ 4.88,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,160.0,g,4.88
Yogurt Entero Danlac Sabor Natural Botella 900g,S/ 11.50,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,900.0,g,11.5
Yogurt Vakimu +Pro Fresa 500g,S/ 12.16,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,500.0,g,12.16
Yogurt Bebible Laive Sbelt Sabor Fresa 1.7kg,S/ 11.90,wong,YOGUR MIXTO EN VASO,2024-12-04 19:13:58.878277,1.7,kg,11.9
