description,price,website,search_term,scrape_timestamp
Lenteja Bebé Tesoro Del Campo Bolsa 500 g,S/ 5.50,metro,LENTEJA,2024-12-04 14:59:40.839934
Lenteja Bebé Cuisine & Co 500g,S/ 5.10,metro,LENTEJA,2024-12-04 14:59:40.839934
Lenteja Costeño 500g,S/ 6.60,metro,LENTEJA,2024-12-04 14:59:40.839934
Quinua Máxima 500g,S/ 7.00,metro,LENTEJA,2024-12-04 14:59:40.839934
Quinua Cuisine & Co 500g,S/ 9.30,metro,LENTEJA,2024-12-04 14:59:40.839934
Lenteja Máxima 500g,S/ 4.90,metro,LENTEJA,2024-12-04 14:59:40.839934
Trigo Mote Tesoro Del Campo Bolsa 500 g,S/ 3.70,metro,LENTEJA,2024-12-04 14:59:40.839934
Quinua Costeño 500g,S/ 9.80,metro,LENTEJA,2024-12-04 14:59:40.839934
Garbanzos Cuisine & Co 500g,S/ 5.40,metro,LENTEJA,2024-12-04 14:59:40.839934
Pallar Cuisine & Co Bolsa 500 gr,S/ 6.90,metro,LENTEJA,2024-12-04 14:59:40.839934
Garbanzo Maixma Bolsa 500 g,S/ 4.99,metro,LENTEJA,2024-12-04 14:59:40.839934
Pallar Maxima Bolsa 500 g,S/ 5.90,metro,LENTEJA,2024-12-04 14:59:40.839934
Lenteja Cuisine & Co 500g,S/ 5.10,metro,LENTEJA,2024-12-04 14:59:40.839934
Trigo Mote Tesoro del Campo 350g,S/ 2.90,metro,LENTEJA,2024-12-04 14:59:40.839934
Lentejas Bebé Bolsa 500 g,S/ 6.20,metro,LENTEJA,2024-12-04 14:59:40.839934
Quinua Tesoro Del Campo Bolsa 500 g,S/ 9.85,metro,LENTEJA,2024-12-04 14:59:40.839934
Trigo Mote Costeño 500g,S/ 4.40,metro,LENTEJA,2024-12-04 14:59:40.839934
Garbanzo Costeño 500g,S/ 6.60,metro,LENTEJA,2024-12-04 14:59:40.839934
Pallar Costeño 500g,S/ 7.00,metro,LENTEJA,2024-12-04 14:59:40.839934
Trigo Mote Maxima Bolsa 500 g,S/ 3.70,metro,LENTEJA,2024-12-04 14:59:40.839934
Quinua Perlada Superior Incasur Bolsa 250 gr,S/ 9.10,metro,LENTEJA,2024-12-04 14:59:40.839934
Lentejón Máxima 500g,S/ 4.90,metro,LENTEJA,2024-12-04 14:59:40.839934
Morón Costeño 500g,S/ 4.80,metro,LENTEJA,2024-12-04 14:59:40.839934
Lentejón Cuisine & Co 500g,S/ 5.10,metro,LENTEJA,2024-12-04 14:59:40.839934
Trigo Mote Cuisine & Co 500g,S/ 3.50,metro,LENTEJA,2024-12-04 14:59:40.839934
Quinua Perlada Selecta Incasur Bolsa 250 gr,S/ 10.40,metro,LENTEJA,2024-12-04 14:59:40.839934
Quinua Perlada Nativa Incasur Bolsa 250 gr,S/ 11.20,metro,LENTEJA,2024-12-04 14:59:40.839934
Pallar Tesoro Del Campo Bolsa 500 g,S/ 7.90,metro,LENTEJA,2024-12-04 14:59:40.839934
Garbanzos Tesoro Del Campo Bolsa 500 g,S/ 7.00,metro,LENTEJA,2024-12-04 14:59:40.839934
Lenteja Tesoro Del Campo Bolsa 500 g,S/ 5.85,metro,LENTEJA,2024-12-04 14:59:40.839934
Garbanzos Bolsa 500 g,S/ 7.70,metro,LENTEJA,2024-12-04 14:59:40.839934
Lenteja Bolsa 350 g,S/ 5.00,metro,LENTEJA,2024-12-04 14:59:40.839934
