description,price,website,search_term,scrape_timestamp
Pastel Pingüinos Minix Sabor Cookies & Cream 200g,S/ 8.50,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Pastel Pingüinos Sabor Cookies & Cream 80g,S/ 3.50,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Pastelitos Sabor Chocolate Marinela Pingüinos Minix 10un,S/ 8.50,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Keke Sabor Vainilla Relleno Gansito Marinela Paquete 50 g,S/ 2.70,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Dulce de Camote Camotillo,S/ 2.20,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Kit Arma tu Casita Navideña,S/ 43.90,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Copa Naked de Red Velvet,S/ 6.90,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Alfajor Bon o Bon Arcor Paquete 6 unidades,S/ 19.60,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Florero de Galletas Navidad 9 Piezas Surtido,S/ 33.90,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Cupcake Mascotas Gatito x unid,S/ 4.90,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Brownie Tipo Trufa Delisha x Unid,S/ 4.59,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Kit Pinta tu Galleta,S/ 20.90,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Copa Durazno Wong,S/ 8.90,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Mini Brownie Clásico Giardino 60un.,S/ 33.50,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Brownie Clásico con Chocolate Sublime Giardino,S/ 6.99,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Galletas de Vainilla con Choco Chips Cuisine & Co 8un,S/ 14.90,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Cono de Algodón de Azúcar Del Piero Surtido,S/ 5.50,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Galletas Dolce María IIditas 100g,S/ 9.50,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Mil Hojas de Fresa Gourmet Personal,S/ 9.90,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Tiramisú Personal,S/ 8.90,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Paleta de Chocolate Bitter Giardino x Unid,S/ 2.50,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Brownie Clásico con Chocolate Triángulo Giardino,S/ 6.99,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Copa Tres Leches de Chocolate x Unid,S/ 10.50,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Brownie Clásico con Chocolate Princesa Giardino,S/ 6.99,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Algodón de Azúcar Del Piero,S/ 7.90,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Turroncito con Miel Petitfrit,S/ 1.20,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Copa Tres Leches Clásica Vaso 1 unid,S/ 10.50,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Mousse de Chocolate Personal,S/ 8.90,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Galletas de Chocolate con Naranja Cuisine & Co 8un,S/ 14.90,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Ópera Personal,S/ 8.90,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Brownies Surtidos Giardino 4un,S/ 16.90,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Postre de Limón Personal,S/ 9.90,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Tartaleta de Fresas Personal,S/ 7.90,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Alfajores Gustozzi 2un,S/ 6.90,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Barra de Cereal Delisha Fit Granola 55g,S/ 4.20,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Alfajor de Manjarblanco,S/ 4.50,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Eclair de Chocolate Dulce Pasión,S/ 8.50,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Brownie con Fudge Delisha x Un,S/ 4.59,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Postre Encanelado Personal,S/ 9.90,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Eclair de Caramelo Dulce Pasión,S/ 8.50,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Cupcake Metrito,S/ 4.90,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Alfajor de Chocolate Denky,S/ 4.50,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Alfajores Decorados Metro 18un,S/ 18.90,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Mini Muffins Giardino Vainilla Chips 48un,S/ 19.90,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Tarta de Arándanos Personal,S/ 8.50,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Brownie Tradicional Delisha x Un,S/ 4.59,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Alfajor de Maicena,S/ 4.50,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Galletas Artesanales Dolce Maria Cachitos de Castañas,S/ 34.90,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Galleta Decorada con Glasé Surtido,S/ 6.90,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Galletas Dulce María Cachitos de Castañas Bolsa 100 g,S/ 9.50,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Mousse de Lúcuma Personal,S/ 8.90,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Galletas Dolce María Canestrellis 100g,S/ 9.50,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Brownie Clásico con Lentejitas Giardino,S/ 6.99,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Postre Tartaleta de Limón Denky Personal,S/ 8.50,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
Galletas de Avena Dulce Detalle 3un,S/ 15.90,metro,PASTELES DULCES,2024-12-04 13:32:38.788732
