Market_name,Market_cat_name,Product_name,Product_price,Product_description,scrape_timestamp
Oxxo,Chocolates Y Dulces,Costa Barquillos Obsesión Rellenos con Crema de Chocolate,1.6,"Disfruta de estos deliciosos y crujientes barquillos, rellenos de crema de chocolate. Son perfectos para compartir con los que más quieres.",2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Hersheys Chocolate Blanco Cookies and Creme,2.6,"Deliciosa chocolatina con trozos de galleta que le aportan mucha textura y sabor. Perfecta para disfrutarla como postre después del almuerzo o para dar un rico, exquisito y lindo detalle con quien desees.",2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Hersheys Barra de Chocolate con Leche,2.6,"Disfruta con el delicioso y cremoso sabor de barras Hershey’s, exquisita versión de chocolate con leche. Perfecta para llevar a donde quieras que vayas y disfrutar de su original sabor.",2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Chocolate Canonazo Extra 39 G,1.8,CHOCOLATE CANONAZO EXTRA 39 G,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Nestlé Wafer Con Crema Sublime Power,1.6,Bolsa.,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces, Lentejas Gragea sabor Chocolate Confitado,2.9,Grageas sabor a chocolate confitado en forma de lentetejas. Perfecto para decorar tus postres o disfrutar solos.,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Besos de Moza Galleta Sabor Vainilla y Merengue ,13.3,"Disfruta de una deliciosa galleta, que está compuesta de un trozo de merengue italiano, cubierto de chocolate amargo, perfecta para endulzarte en cualquier momento del día. Caja contiene 9 unidades por 24 gramos cada una. ",2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Sorrento Trufa Bañada en Pasta Sabor Chocolate,2.2,"Disfruta de una deliciosa trufa bañada en chocolate, ideal para endulzarte y recargar tus días en cualquier momento.",2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,La Ibérica Barra de Chocolate Milky con Cacao,5.7,"Deliciosa barra de chocolate con leche, con 40 % de cacao, te brinda una explosión de sabor en tu boca que no puedes dejar de probar.",2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Princesa Chocolate Relleno con Crema de Maní,2.9,Princesa chocolate relleno con crema de maní. Perfecto para cualquier momento del día ,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Snickers Chocolate Peanut Butter,5.4,"Cuando buscas un refrigerio que realmente te satisfaga, el chocolate con mantequilla de maní, caramelo y turrón será la mejor opción.",2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Triángulo Barra de Chocolate con Leche,3.5,"Triángulo barra de chocolate con leche. Bolsa por 30 gramos. Ingredientes: azúcar, leche entera en polvo, manteca de cacao, masa de cacao, grasa vegetal, emulsionantes (Lecitina de soya y Ésteres poliglicéridos de ácido ricinoléico interesterificado) y saborizante. Ideal para compartir.",2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Sublime Chocolate Blanco con Maní,3.5,Una sonrisa puede cambiarlo todo. Disfruta de la perfecta combinación de chocolate blanco con maní.,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Twix Barra de Chocolate Cookie Bars,5.0,Twix Barra de Chocolate Cookie Bars 50.7 g. Packing: Bolsa,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Mm's Peanut Butter 49.0g,5.3,MM'S PEANUT BUTTER 49.0G,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Bon Bon Bum Caramelo Chupete Sabor Fresa,0.5,Chupete Sabor Fresa 19 g,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Sha Chicle Aterra Lenguas,1.7,Bolsa,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Olé Olé Marshmallow Sabor A Vainilla Con Cobertura De Chocolate,1.6,"Deliciosos masmelos sabor a vainilla con cobertura de chocolate, ideales para calmar esos antojos a la hora de consumir algo duce durante el día.",2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,OKA LOKA Caramelo Frutal 40 G,2.3,Caramelo Oka Loka Frutal 40 G,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Ambrosía Gomita Dulce de Almidón Sabor Frutal,1.2,"Deliciosas gomitas de almidón, sabor a fresa, naranja, limón, piña y uva. Ideales para compartir y endulzar momentos especiales junto a tus seres queridos.",2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,FRUNA Caramelo Blando Sabor a Manzana,0.7,"Descubre el equilibrio perfecto entre dulzura y frescura con estos deliciosos caramelos blandos con sabor a manzana. Sumérgete en la jugosidad de cada caramelo, mientras disfrutas de la auténtica esencia de las manzanas en una delicia que deleitará a los amantes del dulce.",2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Ambrosito Gomitas de Gelatina Sabores Surtidos ,1.2,"Disfruta de estas ricas y deliciosas gomitas de gelatina sabores surtidos a fresa, naranja, limón, piña, manzana y cereza.",2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Mogul Gomitas de Ositos en Sabores Variados,1.2,"Deléitate con el delicioso sabor de estas gomitas dulces en forma de ositos; son la elección perfecta para aquellos que buscan un caramelo con sabor y diversión. Con formas de ositos de colores y sabores surtidos, estas gomitas son una delicia para los amantes de los dulces.",2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Trululu Gomitas Confitadas Sabores Frutales,3.3,"Deliciosas gomitas Trululu de sabores frutales surtidos, crocantes por fuera y suavecitas por dentro, perfectas para compartir. Harán de tus fiestas las más deliciosas.",2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Trolli Gomita de Gusano Sour Glowworms,7.5,"Deliciosas gomitas de gusanos con un toque de dulzura y acidez, con sabores afrutados de naranja, lima, cereza, limón, fresa, uva. Perfectas para disfrutar con los que más quieres en cualquier ocasión.",2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Ambrosoli Caramelos Full Sabor Cherry,1.3,"Disfruta de unos deliciosos caramelos duros, con sabor a cereza mentolada, una verdadera delicia que se deshace en tu boca, perfectos para endulzarte en cualquier momento del día.",2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Ambrosia Goma,3.7,Bolsa x 90 g,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Full Caramelo Menta Sabor a Limón,1.3, Caramelo Full Sabor a Limón. Bolsa de 22.5 gramos.,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Trululu Gomitas Gusanos Ácidos,3.3,"Disfruta de unas deliciosas y esponjosas gomitas, con sabor frutal y ácido, puedes compartirlas o comerlas solas. Ideales para fiestas y celebraciones.",2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Bubbaloo Caramelo Masticable Sparkies,1.7,"Disfruta de unos deliciosos caramelos masticables con sabores a frutas surtidas de sabor a naranja, limón, fresa, banana, cereza y uva, ideal para endulzar cualquier momento del día.",2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Cuchareable - Alfajor Con Manjar,5.9,CUCHAREABLE - ALFAJOR CON MANJAR,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Bon o Bon Alfajor de Chocolate,3.5,"Este alfajor es hecho con una deliciosa galleta cubierta de chocolate, tiene relleno a base de leche y maní. Perfecto para endulzar cualquier momento del día.",2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Gustos mary alfajor bañado en chocolate.,12.5,Alfajores bañados en cobertura bitter para comerlo en cualquier momento del día. Pote Contiene 15 Unidades.,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Bon o Bon Alfajor,20.5,"Galleta cubierta de chocolate, con relleno a base de leche y maní. Contiene 6 unidades. ",2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,2 x Cuchareable Alfajor Con Manjar,11.8,CUCHAREABLE - ALFAJOR CON MANJAR,2024-12-06 21:20:35.359878
Oxxo,Chocolates Y Dulces,Casino Galleta de Alfajor,1.5,"Casino, el m�ximo placer en tu boca porque trae full crema y full sabores: menta, fresa, chocolate, vainilla, l�cuma, alfajor, doble sabor chocolate y l�cuma.",2024-12-06 21:20:35.360878
Oxxo,Lácteos Y Huevos,Bonlé Queso Edam Tajadas Paquete,5.5,Queso Edam Bonlé Tajadas Paquete 90 G,2024-12-06 21:20:35.340888
