Market_name,Market_cat_name,Market_subcat_name,Product_name,Product_price,Product_description,Product_unit_type,Product_quantity,Product_type,Product_is_available,scrape_timestamp
Oxxo,Chocolates Y Dulces,Chocolates,Costa Barquillos Obsesión Rellenos con Crema de Chocolate,1.6,"Disfruta de estos deliciosos y crujientes barquillos, rellenos de crema de chocolate. Son perfectos para compartir con los que más quieres.",gr,21.0,none,True,2024-12-07 23:01:38.348250
Oxxo,Chocolates Y Dulces,Chocolates,Hersheys Chocolate Blanco Cookies and Creme,2.6,"Deliciosa chocolatina con trozos de galleta que le aportan mucha textura y sabor. Perfecta para disfrutarla como postre después del almuerzo o para dar un rico, exquisito y lindo detalle con quien desees.",gr,20.0,none,True,2024-12-07 23:01:38.348250
Oxxo,Chocolates Y Dulces,Chocolates,Hersheys Barra de Chocolate con Leche,2.6,"Disfruta con el delicioso y cremoso sabor de barras Hershey’s, exquisita versión de chocolate con leche. Perfecta para llevar a donde quieras que vayas y disfrutar de su original sabor.",gr,20.0,none,True,2024-12-07 23:01:38.348250
Oxxo,Chocolates Y Dulces,Chocolates,Chocolate Canonazo Extra 39 G,1.8,CHOCOLATE CANONAZO EXTRA 39 G,gr,39.0,none,True,2024-12-07 23:01:38.348250
Oxxo,Chocolates Y Dulces,Chocolates, Lentejas Gragea sabor Chocolate Confitado,2.9,Grageas sabor a chocolate confitado en forma de lentetejas. Perfecto para decorar tus postres o disfrutar solos.,gr,30.0,none,True,2024-12-07 23:01:38.348250
Oxxo,Chocolates Y Dulces,Chocolates,Besos de Moza Galleta Sabor Vainilla y Merengue ,13.3,"Disfruta de una deliciosa galleta, que está compuesta de un trozo de merengue italiano, cubierto de chocolate amargo, perfecta para endulzarte en cualquier momento del día. Caja contiene 9 unidades por 24 gramos cada una. ",gr,216.0,none,True,2024-12-07 23:01:38.348250
Oxxo,Chocolates Y Dulces,Chocolates,La Ibérica Barra de Chocolate Milky con Cacao,5.7,"Deliciosa barra de chocolate con leche, con 40 % de cacao, te brinda una explosión de sabor en tu boca que no puedes dejar de probar.",gr,50.0,none,True,2024-12-07 23:01:38.348250
Oxxo,Chocolates Y Dulces,Chocolates,Princesa Chocolate Relleno con Crema de Maní,2.9,Princesa chocolate relleno con crema de maní. Perfecto para cualquier momento del día ,gr,30.0,none,True,2024-12-07 23:01:38.348250
Oxxo,Chocolates Y Dulces,Chocolates,Snickers Chocolate Peanut Butter,5.4,"Cuando buscas un refrigerio que realmente te satisfaga, el chocolate con mantequilla de maní, caramelo y turrón será la mejor opción.",gr,49.9,none,True,2024-12-07 23:01:38.348250
Oxxo,Chocolates Y Dulces,Chocolates,Triángulo Barra de Chocolate con Leche,3.5,"Triángulo barra de chocolate con leche. Bolsa por 30 gramos. Ingredientes: azúcar, leche entera en polvo, manteca de cacao, masa de cacao, grasa vegetal, emulsionantes (Lecitina de soya y Ésteres poliglicéridos de ácido ricinoléico interesterificado) y saborizante. Ideal para compartir.",gr,30.0,none,True,2024-12-07 23:01:38.348250
Oxxo,Chocolates Y Dulces,Chocolates,Sublime Chocolate Blanco con Maní,3.5,Una sonrisa puede cambiarlo todo. Disfruta de la perfecta combinación de chocolate blanco con maní.,gr,38.0,none,True,2024-12-07 23:01:38.348250
Oxxo,Chocolates Y Dulces,Chocolates,Twix Barra de Chocolate Cookie Bars,5.0,Twix Barra de Chocolate Cookie Bars 50.7 g. Packing: Bolsa,gr,50.7,none,True,2024-12-07 23:01:38.348250
Oxxo,Chocolates Y Dulces,Chocolates,Mm's Peanut Butter 49.0g,5.3,MM'S PEANUT BUTTER 49.0G,gr,49.0,none,True,2024-12-07 23:01:38.349251
Oxxo,Chocolates Y Dulces,Chocolates,Snickers Chocolatina en Barra,5.4,"Tiene un relleno de turrón y mantequilla de cacahuete con una cobertura de caramelo y cacahuetes troceados, cubierto con chocolate con leche. Sacia el antojo de algo exquisito que impactará tu paladar.",gr,52.7,none,True,2024-12-07 23:01:38.349251
Oxxo,Chocolates Y Dulces,Chocolates,Ferrero Rocher Chocolate Bombones,8.9,"Disfruta de Unos Deliciosos Chocolates Con un Relleno Cremoso, Envuelto Alrededor de Una Rica Avellana Entera, Esto le da un Crujido Agradable en el Centro, Siendo Perfectos Para Endulzarte en Cualquier Momento Del Día.",gr,37.7,none,True,2024-12-07 23:01:38.349251
Oxxo,Chocolates Y Dulces,Chocolates,Hershey Chocolate Leche,5.3,Bolsa,gr,43.0,none,True,2024-12-07 23:01:38.349251
Oxxo,Chocolates Y Dulces,Chocolates,Kit Kat Oblea Cubierta de Chocolate,5.9,"Barrita de oblea crujiente, cubierta de un delicioso chocolate con leche. Es el snack ideal para aquellos que valoran sus breaks.",gr,41.5,none,True,2024-12-07 23:01:38.349251
Oxxo,Chocolates Y Dulces,Chocolates,Nestlé Bombones Surtidos,0.6,Nestlé Bombones Surtidos x 8 gr,gr,7.0,none,True,2024-12-07 23:01:38.349251
Oxxo,Chocolates Y Dulces,Chocolates,Sublime Chocolateduo,1.9,CHOCOLATE SUBLIME DUO 28 G,gr,28.0,none,True,2024-12-07 23:01:38.349251
Oxxo,Chocolates Y Dulces,Chocolates,Sublime Chocolate con Leche con Maní,3.5,"¡Una sonrisa puede cambiarlo todo! Por eso, conoce el chocolate con leche y maní favorito de los peruanos: Sublime, que sin duda te recargará el ánimo.  ",gr,38.0,none,True,2024-12-07 23:01:38.349251
Oxxo,Chocolates Y Dulces,Chocolates,Princesa Chocolate Sabor Fresa,2.9,"Disfruta de un delicioso chocolate relleno con crema sabor a fresa, con grasa vegetal, libre de gluten, ideal para endulzar cualquier momento del día.",gr,30.0,none,True,2024-12-07 23:01:38.349251
Oxxo,Chocolates Y Dulces,Chocolates,Fochis Pasas Bañadas con Chocolate,3.0,"Deliciosas pasas cubiertas de chocolate de leche, disfrútalas cuando quieras y donde quieras. ",gr,28.0,none,True,2024-12-07 23:01:38.349251
Oxxo,Chocolates Y Dulces,Chocolates,Pasteles Pingüino Triple Sabor Chocolate,4.0,Contiene 80 gramos Pastel sabor chocolate Relleno con crema sabor chocolate Decorado con glasé sabor chocolate,gr,80.0,none,True,2024-12-07 23:01:38.349251
Oxxo,Chocolates Y Dulces,Chocolates,Bon o Bon Bombón con Chocolate,1.6,"Delicioso y exquisito chocolate elaborado con leche, tiene un rico relleno con pasta de maní, ideal para que consientas el paladar y endulces cualquier momento del día.",gr,15.0,none,True,2024-12-07 23:01:38.349251
Oxxo,Chocolates Y Dulces,Chocolates,Costa Vizzio Almendra Cubierta Con Chocolate,7.9,"Vizzio Almendra Cubierta Con Chocolate son ideales para compartir en reuniones, regalar a seres queridos o simplemente consentirte con un capricho delicioso.",gr,69.0,none,True,2024-12-07 23:01:38.349251
